# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-03-10
#
# GRDC-No.:              6935500
# River:                 RHINE RIVER
# Station:               DIEPOLDSAU, RIETBRUECKE
# Country:               CH
# Latitude (DD):       47.3831
# Longitude (DD):      9.6409
# Catchment area (km²):      6119.0
# Altitude (m ASL):        456.273
# Next downstream station:      6935055
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1919-01 - 2016-12
# No. of years:          98
# Last update:           2018-08-20
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 35795
# DATA
YYYY-MM-DD;hh:mm; Value
1919-06-21;--:--;    671.000
1919-06-22;--:--;    741.000
1919-06-23;--:--;    642.000
1919-06-24;--:--;    582.000
1919-06-25;--:--;    481.000
1919-06-26;--:--;    431.000
1919-06-27;--:--;    417.000
1919-06-28;--:--;    382.000
1919-06-29;--:--;    364.000
1919-06-30;--:--;    475.000
1919-07-01;--:--;    441.000
1919-07-02;--:--;    520.000
1919-07-03;--:--;    492.000
1919-07-04;--:--;    420.000
1919-07-05;--:--;    398.000
1919-07-06;--:--;    444.000
1919-07-07;--:--;    509.000
1919-07-08;--:--;    617.000
1919-07-09;--:--;    691.000
1919-07-10;--:--;    553.000
1919-07-11;--:--;    492.000
1919-07-12;--:--;    481.000
1919-07-13;--:--;    489.000
1919-07-14;--:--;    486.000
1919-07-15;--:--;    420.000
1919-07-16;--:--;    441.000
1919-07-17;--:--;    379.000
1919-07-18;--:--;    343.000
1919-07-19;--:--;    335.000
1919-07-20;--:--;    382.000
1919-07-21;--:--;    481.000
1919-07-22;--:--;    425.000
1919-07-23;--:--;    372.000
1919-07-24;--:--;    414.000
1919-07-25;--:--;    379.000
1919-07-26;--:--;    343.000
1919-07-27;--:--;    314.000
1919-07-28;--:--;    309.000
1919-07-29;--:--;    330.000
1919-07-30;--:--;    314.000
1919-07-31;--:--;    318.000
1919-08-01;--:--;    316.000
1919-08-02;--:--;    325.000
1919-08-03;--:--;    346.000
1919-08-04;--:--;    369.000
1919-08-05;--:--;    330.000
1919-08-06;--:--;    323.000
1919-08-07;--:--;    314.000
1919-08-08;--:--;    304.000
1919-08-09;--:--;    285.000
1919-08-10;--:--;    304.000
1919-08-11;--:--;    332.000
1919-08-12;--:--;    343.000
1919-08-13;--:--;    340.000
1919-08-14;--:--;    332.000
1919-08-15;--:--;    321.000
1919-08-16;--:--;    311.000
1919-08-17;--:--;    304.000
1919-08-18;--:--;    295.000
1919-08-19;--:--;    283.000
1919-08-20;--:--;    278.000
1919-08-21;--:--;    271.000
1919-08-22;--:--;    274.000
1919-08-23;--:--;    260.000
1919-08-24;--:--;    246.000
1919-08-25;--:--;    238.000
1919-08-26;--:--;    235.000
1919-08-27;--:--;    231.000
1919-08-28;--:--;    213.000
1919-08-29;--:--;    216.000
1919-08-30;--:--;    358.000
1919-08-31;--:--;    330.000
1919-09-01;--:--;    253.000
1919-09-02;--:--;    229.000
1919-09-03;--:--;    194.000
1919-09-04;--:--;    180.000
1919-09-05;--:--;    180.000
1919-09-06;--:--;    174.000
1919-09-07;--:--;    166.000
1919-09-08;--:--;    164.000
1919-09-09;--:--;    162.000
1919-09-10;--:--;    160.000
1919-09-11;--:--;    160.000
1919-09-12;--:--;    164.000
1919-09-13;--:--;    172.000
1919-09-14;--:--;    170.000
1919-09-15;--:--;    162.000
1919-09-16;--:--;    158.000
1919-09-17;--:--;    162.000
1919-09-18;--:--;    158.000
1919-09-19;--:--;    166.000
1919-09-20;--:--;    180.000
1919-09-21;--:--;    184.000
1919-09-22;--:--;    172.000
1919-09-23;--:--;    153.000
1919-09-24;--:--;    154.000
1919-09-25;--:--;    153.000
1919-09-26;--:--;    147.000
1919-09-27;--:--;    143.000
1919-09-28;--:--;    225.000
1919-09-29;--:--;    526.000
1919-09-30;--:--;    299.000
1919-10-01;--:--;    255.000
1919-10-02;--:--;    297.000
1919-10-03;--:--;    290.000
1919-10-04;--:--;    239.000
1919-10-05;--:--;    223.000
1919-10-06;--:--;    213.000
1919-10-07;--:--;    201.000
1919-10-08;--:--;    182.000
1919-10-09;--:--;    170.000
1919-10-10;--:--;    166.000
1919-10-11;--:--;    162.000
1919-10-12;--:--;    156.000
1919-10-13;--:--;    141.000
1919-10-14;--:--;    138.000
1919-10-15;--:--;    131.000
1919-10-16;--:--;    129.000
1919-10-17;--:--;    129.000
1919-10-18;--:--;    127.000
1919-10-19;--:--;    127.000
1919-10-20;--:--;    127.000
1919-10-21;--:--;    124.000
1919-10-22;--:--;    116.000
1919-10-23;--:--;    114.000
1919-10-24;--:--;    109.000
1919-10-25;--:--;    114.000
1919-10-26;--:--;    109.000
1919-10-27;--:--;    105.000
1919-10-28;--:--;    102.000
1919-10-29;--:--;    102.000
1919-10-30;--:--;     99.200
1919-10-31;--:--;     99.200
1919-11-01;--:--;     92.800
1919-11-02;--:--;     94.400
1919-11-03;--:--;     96.000
1919-11-04;--:--;     92.800
1919-11-05;--:--;     91.200
1919-11-06;--:--;    107.000
1919-11-07;--:--;    119.000
1919-11-08;--:--;    117.000
1919-11-09;--:--;    116.000
1919-11-10;--:--;    105.000
1919-11-11;--:--;    102.000
1919-11-12;--:--;     96.000
1919-11-13;--:--;     92.800
