# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-03-10
#
# GRDC-No.:              6935500
# River:                 RHINE RIVER
# Station:               DIEPOLDSAU, RIETBRUECKE
# Country:               CH
# Latitude (DD):       47.3831
# Longitude (DD):      9.6409
# Catchment area (km²):      6119.0
# Altitude (m ASL):        456.273
# Next downstream station:      6935055
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1919-01 - 2016-12
# No. of years:          98
# Last update:           2018-08-20
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 35795
# DATA
YYYY-MM-DD;hh:mm; Value
1941-12-06;--:--;     85.700
1941-12-07;--:--;     85.700
1941-12-08;--:--;     87.200
1941-12-09;--:--;     84.900
1941-12-10;--:--;     82.800
1941-12-11;--:--;     82.100
1941-12-12;--:--;     81.400
1941-12-13;--:--;     80.700
1941-12-14;--:--;     78.600
1941-12-15;--:--;     78.600
1941-12-16;--:--;     78.600
1941-12-17;--:--;     77.200
1941-12-18;--:--;     75.800
1941-12-19;--:--;     74.400
1941-12-20;--:--;     74.400
1941-12-21;--:--;     71.000
1941-12-22;--:--;     69.100
1941-12-23;--:--;     71.000
1941-12-24;--:--;     71.700
1941-12-25;--:--;     71.000
1941-12-26;--:--;     71.000
1941-12-27;--:--;     66.100
1941-12-28;--:--;     68.500
1941-12-29;--:--;     66.100
1941-12-30;--:--;     66.700
1941-12-31;--:--;     68.500
1942-01-01;--:--;     69.100
1942-01-02;--:--;     66.700
1942-01-03;--:--;     66.700
1942-01-04;--:--;     64.900
1942-01-05;--:--;     64.300
1942-01-06;--:--;     67.300
1942-01-07;--:--;     65.500
1942-01-08;--:--;     64.300
1942-01-09;--:--;     63.700
1942-01-10;--:--;     60.700
1942-01-11;--:--;     57.700
1942-01-12;--:--;     55.000
1942-01-13;--:--;     54.000
1942-01-14;--:--;     53.000
1942-01-15;--:--;     52.000
1942-01-16;--:--;     52.000
1942-01-17;--:--;     53.000
1942-01-18;--:--;     54.000
1942-01-19;--:--;     53.000
1942-01-20;--:--;     53.000
1942-01-21;--:--;     54.000
1942-01-22;--:--;     53.500
1942-01-23;--:--;     52.500
1942-01-24;--:--;     53.000
1942-01-25;--:--;     55.000
1942-01-26;--:--;     55.600
1942-01-27;--:--;     53.500
1942-01-28;--:--;     53.000
1942-01-29;--:--;     54.000
1942-01-30;--:--;     56.100
1942-01-31;--:--;     55.500
1942-02-01;--:--;     55.000
1942-02-02;--:--;     54.000
1942-02-03;--:--;     52.500
1942-02-04;--:--;     54.000
1942-02-05;--:--;     55.600
1942-02-06;--:--;     53.000
1942-02-07;--:--;     53.000
1942-02-08;--:--;     52.000
1942-02-09;--:--;     50.500
1942-02-10;--:--;     51.500
1942-02-11;--:--;     52.500
1942-02-12;--:--;     52.500
1942-02-13;--:--;     50.500
1942-02-14;--:--;     52.000
1942-02-15;--:--;     51.000
1942-02-16;--:--;     50.500
1942-02-17;--:--;     50.500
1942-02-18;--:--;     50.000
1942-02-19;--:--;     52.000
1942-02-20;--:--;     52.000
1942-02-21;--:--;     50.500
1942-02-22;--:--;     51.000
1942-02-23;--:--;     50.500
1942-02-24;--:--;     52.500
1942-02-25;--:--;     55.000
1942-02-26;--:--;     56.100
1942-02-27;--:--;     53.500
1942-02-28;--:--;     53.000
1942-03-01;--:--;     50.500
1942-03-02;--:--;     52.000
1942-03-03;--:--;     54.500
1942-03-04;--:--;     57.200
1942-03-05;--:--;     61.300
1942-03-06;--:--;     68.500
1942-03-07;--:--;    103.000
1942-03-08;--:--;    109.000
1942-03-09;--:--;     82.800
1942-03-10;--:--;     82.100
1942-03-11;--:--;     87.200
1942-03-12;--:--;    176.000
1942-03-13;--:--;    149.000
1942-03-14;--:--;    135.000
1942-03-15;--:--;    145.000
1942-03-16;--:--;    143.000
1942-03-17;--:--;    138.000
1942-03-18;--:--;    143.000
1942-03-19;--:--;    139.000
1942-03-20;--:--;    135.000
1942-03-21;--:--;    124.000
1942-03-22;--:--;    118.000
1942-03-23;--:--;    114.000
1942-03-24;--:--;    111.000
1942-03-25;--:--;    111.000
1942-03-26;--:--;    116.000
1942-03-27;--:--;    130.000
1942-03-28;--:--;    139.000
1942-03-29;--:--;    133.000
1942-03-30;--:--;    124.000
1942-03-31;--:--;    120.000
1942-04-01;--:--;    128.000
1942-04-02;--:--;    133.000
1942-04-03;--:--;    115.000
1942-04-04;--:--;    112.000
1942-04-05;--:--;    105.000
1942-04-06;--:--;    101.000
1942-04-07;--:--;    108.000
1942-04-08;--:--;    116.000
1942-04-09;--:--;    125.000
1942-04-10;--:--;    120.000
1942-04-11;--:--;    118.000
1942-04-12;--:--;    119.000
1942-04-13;--:--;    128.000
1942-04-14;--:--;    133.000
1942-04-15;--:--;    137.000
1942-04-16;--:--;    122.000
1942-04-17;--:--;    118.000
1942-04-18;--:--;    116.000
1942-04-19;--:--;    119.000
1942-04-20;--:--;    119.000
1942-04-21;--:--;    130.000
1942-04-22;--:--;    131.000
1942-04-23;--:--;    131.000
1942-04-24;--:--;    128.000
1942-04-25;--:--;    136.000
1942-04-26;--:--;    136.000
1942-04-27;--:--;    147.000
1942-04-28;--:--;    171.000
1942-04-29;--:--;    185.000
1942-04-30;--:--;    157.000
1942-05-01;--:--;    133.000
1942-05-02;--:--;    119.000
1942-05-03;--:--;    112.000
1942-05-04;--:--;    110.000
1942-05-05;--:--;    112.000
1942-05-06;--:--;    119.000
1942-05-07;--:--;    131.000
1942-05-08;--:--;    173.000
1942-05-09;--:--;    212.000
1942-05-10;--:--;    229.000
1942-05-11;--:--;    244.000
1942-05-12;--:--;    259.000
1942-05-13;--:--;    236.000
1942-05-14;--:--;    255.000
1942-05-15;--:--;    326.000
1942-05-16;--:--;    275.000
1942-05-17;--:--;    280.000
1942-05-18;--:--;    296.000
1942-05-19;--:--;    377.000
1942-05-20;--:--;    474.000
1942-05-21;--:--;    562.000
1942-05-22;--:--;    672.000
1942-05-23;--:--;    446.000
1942-05-24;--:--;    377.000
1942-05-25;--:--;    350.000
1942-05-26;--:--;    327.000
1942-05-27;--:--;    347.000
1942-05-28;--:--;    424.000
1942-05-29;--:--;    522.000
1942-05-30;--:--;    720.000
1942-05-31;--:--;    478.000
1942-06-01;--:--;    422.000
1942-06-02;--:--;    338.000
1942-06-03;--:--;    311.000
1942-06-04;--:--;    332.000
1942-06-05;--:--;    392.000
1942-06-06;--:--;    474.000
1942-06-07;--:--;    481.000
1942-06-08;--:--;    519.000
1942-06-09;--:--;    506.000
1942-06-10;--:--;    506.000
1942-06-11;--:--;    544.000
1942-06-12;--:--;    620.000
1942-06-13;--:--;   1110.000
1942-06-14;--:--;    709.000
1942-06-15;--:--;    616.000
1942-06-16;--:--;    645.000
1942-06-17;--:--;    540.000
1942-06-18;--:--;    484.000
1942-06-19;--:--;    442.000
1942-06-20;--:--;    447.000
1942-06-21;--:--;    502.000
1942-06-22;--:--;    522.000
1942-06-23;--:--;    502.000
1942-06-24;--:--;    474.000
1942-06-25;--:--;    475.000
1942-06-26;--:--;    431.000
1942-06-27;--:--;    380.000
1942-06-28;--:--;    341.000
1942-06-29;--:--;    314.000
1942-06-30;--:--;    282.000
1942-07-01;--:--;    290.000
1942-07-02;--:--;    314.000
1942-07-03;--:--;    344.000
1942-07-04;--:--;    338.000
1942-07-05;--:--;    312.000
1942-07-06;--:--;    323.000
1942-07-07;--:--;    329.000
1942-07-08;--:--;    317.000
1942-07-09;--:--;    299.000
1942-07-10;--:--;    290.000
1942-07-11;--:--;    500.000
1942-07-12;--:--;    343.000
1942-07-13;--:--;    268.000
1942-07-14;--:--;    237.000
1942-07-15;--:--;    239.000
1942-07-16;--:--;    271.000
1942-07-17;--:--;    234.000
1942-07-18;--:--;    336.000
1942-07-19;--:--;    317.000
1942-07-20;--:--;    319.000
1942-07-21;--:--;    302.000
1942-07-22;--:--;    288.000
1942-07-23;--:--;    269.000
1942-07-24;--:--;    250.000
1942-07-25;--:--;    246.000
1942-07-26;--:--;    258.000
1942-07-27;--:--;    291.000
1942-07-28;--:--;    290.000
1942-07-29;--:--;    259.000
1942-07-30;--:--;    243.000
1942-07-31;--:--;    236.000
1942-08-01;--:--;    234.000
1942-08-02;--:--;    229.000
1942-08-03;--:--;    277.000
1942-08-04;--:--;    635.000
1942-08-05;--:--;    392.000
1942-08-06;--:--;    447.000
1942-08-07;--:--;    348.000
1942-08-08;--:--;    294.000
1942-08-09;--:--;    260.000
1942-08-10;--:--;    266.000
1942-08-11;--:--;    254.000
1942-08-12;--:--;    249.000
1942-08-13;--:--;    248.000
1942-08-14;--:--;    228.000
1942-08-15;--:--;    210.000
1942-08-16;--:--;    198.000
1942-08-17;--:--;    199.000
1942-08-18;--:--;    196.000
1942-08-19;--:--;    200.000
1942-08-20;--:--;    194.000
1942-08-21;--:--;    266.000
1942-08-22;--:--;    259.000
1942-08-23;--:--;    215.000
1942-08-24;--:--;    325.000
1942-08-25;--:--;    285.000
1942-08-26;--:--;    236.000
1942-08-27;--:--;    220.000
1942-08-28;--:--;    210.000
1942-08-29;--:--;    200.000
1942-08-30;--:--;    197.000
1942-08-31;--:--;    203.000
1942-09-01;--:--;    187.000
1942-09-02;--:--;    196.000
1942-09-03;--:--;    180.000
1942-09-04;--:--;    173.000
1942-09-05;--:--;    187.000
1942-09-06;--:--;    180.000
1942-09-07;--:--;    199.000
1942-09-08;--:--;    183.000
1942-09-09;--:--;    169.000
1942-09-10;--:--;    164.000
1942-09-11;--:--;    161.000
1942-09-12;--:--;    161.000
1942-09-13;--:--;    155.000
1942-09-14;--:--;    161.000
1942-09-15;--:--;    169.000
1942-09-16;--:--;    200.000
1942-09-17;--:--;    174.000
1942-09-18;--:--;    156.000
1942-09-19;--:--;    144.000
1942-09-20;--:--;    134.000
1942-09-21;--:--;    135.000
1942-09-22;--:--;    164.000
1942-09-23;--:--;    251.000
1942-09-24;--:--;    170.000
1942-09-25;--:--;    187.000
1942-09-26;--:--;    376.000
1942-09-27;--:--;    648.000
1942-09-28;--:--;    680.000
1942-09-29;--:--;    380.000
1942-09-30;--:--;    299.000
1942-10-01;--:--;    277.000
1942-10-02;--:--;    244.000
1942-10-03;--:--;    224.000
1942-10-04;--:--;    202.000
1942-10-05;--:--;    190.000
1942-10-06;--:--;    177.000
1942-10-07;--:--;    168.000
1942-10-08;--:--;    161.000
1942-10-09;--:--;    168.000
1942-10-10;--:--;    155.000
1942-10-11;--:--;    141.000
1942-10-12;--:--;    138.000
1942-10-13;--:--;    130.000
1942-10-14;--:--;    123.000
1942-10-15;--:--;    118.000
1942-10-16;--:--;    115.000
1942-10-17;--:--;    109.000
1942-10-18;--:--;    108.000
1942-10-19;--:--;    238.000
1942-10-20;--:--;    287.000
1942-10-21;--:--;    203.000
1942-10-22;--:--;    169.000
1942-10-23;--:--;    200.000
1942-10-24;--:--;    203.000
1942-10-25;--:--;    170.000
1942-10-26;--:--;    154.000
1942-10-27;--:--;    161.000
1942-10-28;--:--;    177.000
1942-10-29;--:--;    196.000
1942-10-30;--:--;    160.000
1942-10-31;--:--;    366.000
1942-11-01;--:--;    800.000
1942-11-02;--:--;    425.000
1942-11-03;--:--;    300.000
1942-11-04;--:--;    253.000
1942-11-05;--:--;    223.000
1942-11-06;--:--;    237.000
1942-11-07;--:--;    280.000
1942-11-08;--:--;    227.000
1942-11-09;--:--;    221.000
1942-11-10;--:--;    193.000
1942-11-11;--:--;    177.000
1942-11-12;--:--;    165.000
1942-11-13;--:--;    157.000
1942-11-14;--:--;    148.000
1942-11-15;--:--;    140.000
1942-11-16;--:--;    137.000
1942-11-17;--:--;    135.000
1942-11-18;--:--;    132.000
1942-11-19;--:--;    127.000
1942-11-20;--:--;    123.000
1942-11-21;--:--;    119.000
1942-11-22;--:--;    114.000
1942-11-23;--:--;    109.000
1942-11-24;--:--;    108.000
1942-11-25;--:--;    102.000
1942-11-26;--:--;     98.400
1942-11-27;--:--;    102.000
1942-11-28;--:--;     99.300
1942-11-29;--:--;     95.900
1942-11-30;--:--;     97.600
1942-12-01;--:--;     94.200
1942-12-02;--:--;     93.300
1942-12-03;--:--;     93.400
1942-12-04;--:--;     91.000
1942-12-05;--:--;     90.200
1942-12-06;--:--;    108.000
1942-12-07;--:--;     99.300
1942-12-08;--:--;     92.500
1942-12-09;--:--;     91.800
1942-12-10;--:--;     91.000
1942-12-11;--:--;     91.700
1942-12-12;--:--;     92.500
1942-12-13;--:--;     87.900
1942-12-14;--:--;     84.100
1942-12-15;--:--;     86.300
1942-12-16;--:--;     88.700
1942-12-17;--:--;     85.500
1942-12-18;--:--;     85.600
1942-12-19;--:--;     89.400
1942-12-20;--:--;     85.500
1942-12-21;--:--;     80.500
1942-12-22;--:--;     79.800
1942-12-23;--:--;     78.300
1942-12-24;--:--;     76.900
1942-12-25;--:--;     74.900
1942-12-26;--:--;     73.500
1942-12-27;--:--;     72.800
1942-12-28;--:--;     68.200
1942-12-29;--:--;     68.200
1942-12-30;--:--;     72.200
1942-12-31;--:--;     70.800
1943-01-01;--:--;     67.600
1943-01-02;--:--;     68.200
1943-01-03;--:--;     69.500
1943-01-04;--:--;     69.500
1943-01-05;--:--;     70.100
1943-01-06;--:--;     70.200
1943-01-07;--:--;     68.800
1943-01-08;--:--;     67.600
1943-01-09;--:--;     67.600
1943-01-10;--:--;     67.600
1943-01-11;--:--;     67.000
1943-01-12;--:--;     67.000
1943-01-13;--:--;     67.600
1943-01-14;--:--;     68.200
1943-01-15;--:--;     69.500
1943-01-16;--:--;     68.200
1943-01-17;--:--;     65.000
1943-01-18;--:--;     62.000
1943-01-19;--:--;     63.200
1943-01-20;--:--;     63.800
1943-01-21;--:--;     65.100
1943-01-22;--:--;     65.700
1943-01-23;--:--;     67.000
1943-01-24;--:--;     72.800
1943-01-25;--:--;     69.500
1943-01-26;--:--;     67.000
1943-01-27;--:--;     67.000
1943-01-28;--:--;     65.700
1943-01-29;--:--;     64.400
1943-01-30;--:--;     64.400
1943-01-31;--:--;     65.700
1943-02-01;--:--;     71.500
1943-02-02;--:--;     74.900
1943-02-03;--:--;     72.200
1943-02-04;--:--;     70.800
1943-02-05;--:--;     69.200
1943-02-06;--:--;     67.000
1943-02-07;--:--;     65.000
1943-02-08;--:--;     65.100
1943-02-09;--:--;     63.800
1943-02-10;--:--;     63.800
1943-02-11;--:--;     63.800
1943-02-12;--:--;     62.600
1943-02-13;--:--;     63.800
1943-02-14;--:--;     64.400
1943-02-15;--:--;     63.800
1943-02-16;--:--;     67.000
1943-02-17;--:--;     64.400
1943-02-18;--:--;     63.200
1943-02-19;--:--;     62.600
1943-02-20;--:--;     64.400
1943-02-21;--:--;     66.300
1943-02-22;--:--;     67.000
1943-02-23;--:--;     79.000
1943-02-24;--:--;     81.900
1943-02-25;--:--;     81.200
1943-02-26;--:--;     82.600
1943-02-27;--:--;     82.700
1943-02-28;--:--;     76.200
1943-03-01;--:--;     76.200
1943-03-02;--:--;     80.500
1943-03-03;--:--;     86.300
1943-03-04;--:--;     98.400
1943-03-05;--:--;    105.000
1943-03-06;--:--;    108.000
1943-03-07;--:--;     95.100
1943-03-08;--:--;     86.300
1943-03-09;--:--;     87.900
1943-03-10;--:--;     89.400
1943-03-11;--:--;     93.400
1943-03-12;--:--;     97.600
1943-03-13;--:--;     94.200
1943-03-14;--:--;     92.500
1943-03-15;--:--;     91.000
1943-03-16;--:--;     93.300
1943-03-17;--:--;     93.400
1943-03-18;--:--;     97.600
1943-03-19;--:--;     95.000
1943-03-20;--:--;     95.100
1943-03-21;--:--;     93.300
1943-03-22;--:--;     89.400
1943-03-23;--:--;     87.900
1943-03-24;--:--;     90.200
1943-03-25;--:--;     96.700
1943-03-26;--:--;    106.000
1943-03-27;--:--;    108.000
1943-03-28;--:--;    108.000
1943-03-29;--:--;    115.000
1943-03-30;--:--;    104.000
1943-03-31;--:--;     99.300
1943-04-01;--:--;    133.000
1943-04-02;--:--;    288.000
1943-04-03;--:--;    177.000
1943-04-04;--:--;    142.000
1943-04-05;--:--;    147.000
1943-04-06;--:--;    155.000
1943-04-07;--:--;    145.000
1943-04-08;--:--;    141.000
1943-04-09;--:--;    126.000
1943-04-10;--:--;    124.000
1943-04-11;--:--;    131.000
1943-04-12;--:--;    131.000
1943-04-13;--:--;    141.000
1943-04-14;--:--;    166.000
1943-04-15;--:--;    188.000
1943-04-16;--:--;    201.000
1943-04-17;--:--;    216.000
1943-04-18;--:--;    232.000
1943-04-19;--:--;    252.000
1943-04-20;--:--;    271.000
1943-04-21;--:--;    269.000
1943-04-22;--:--;    311.000
1943-04-23;--:--;    361.000
1943-04-24;--:--;    360.000
1943-04-25;--:--;    353.000
1943-04-26;--:--;    308.000
1943-04-27;--:--;    325.000
1943-04-28;--:--;    291.000
1943-04-29;--:--;    274.000
1943-04-30;--:--;    235.000
1943-05-01;--:--;    220.000
1943-05-02;--:--;    204.000
1943-05-03;--:--;    212.000
1943-05-04;--:--;    254.000
1943-05-05;--:--;    314.000
1943-05-06;--:--;    306.000
1943-05-07;--:--;    265.000
1943-05-08;--:--;    235.000
1943-05-09;--:--;    224.000
1943-05-10;--:--;    231.000
1943-05-11;--:--;    227.000
1943-05-12;--:--;    260.000
1943-05-13;--:--;    296.000
1943-05-14;--:--;    320.000
1943-05-15;--:--;    374.000
1943-05-16;--:--;    424.000
1943-05-17;--:--;    397.000
1943-05-18;--:--;    378.000
1943-05-19;--:--;    385.000
1943-05-20;--:--;    393.000
1943-05-21;--:--;    389.000
1943-05-22;--:--;    361.000
1943-05-23;--:--;    342.000
1943-05-24;--:--;    346.000
1943-05-25;--:--;    525.000
1943-05-26;--:--;    402.000
1943-05-27;--:--;    334.000
1943-05-28;--:--;    366.000
1943-05-29;--:--;    367.000
1943-05-30;--:--;    383.000
1943-05-31;--:--;    416.000
1943-06-01;--:--;    442.000
1943-06-02;--:--;    466.000
1943-06-03;--:--;    460.000
1943-06-04;--:--;    397.000
1943-06-05;--:--;    344.000
1943-06-06;--:--;    303.000
1943-06-07;--:--;    396.000
1943-06-08;--:--;    386.000
1943-06-09;--:--;    458.000
1943-06-10;--:--;    790.000
1943-06-11;--:--;    726.000
1943-06-12;--:--;    581.000
1943-06-13;--:--;    486.000
1943-06-14;--:--;    500.000
1943-06-15;--:--;    657.000
1943-06-16;--:--;    557.000
1943-06-17;--:--;    485.000
1943-06-18;--:--;    478.000
1943-06-19;--:--;    416.000
1943-06-20;--:--;    388.000
1943-06-21;--:--;    421.000
1943-06-22;--:--;    514.000
1943-06-23;--:--;    505.000
1943-06-24;--:--;    497.000
1943-06-25;--:--;    492.000
1943-06-26;--:--;    476.000
1943-06-27;--:--;    439.000
1943-06-28;--:--;    389.000
1943-06-29;--:--;    372.000
1943-06-30;--:--;    354.000
1943-07-01;--:--;    299.000
1943-07-02;--:--;    272.000
1943-07-03;--:--;    262.000
1943-07-04;--:--;    266.000
1943-07-05;--:--;    286.000
1943-07-06;--:--;    297.000
1943-07-07;--:--;    378.000
1943-07-08;--:--;    352.000
1943-07-09;--:--;    370.000
1943-07-10;--:--;    310.000
1943-07-11;--:--;    326.000
1943-07-12;--:--;    339.000
1943-07-13;--:--;    361.000
1943-07-14;--:--;    361.000
1943-07-15;--:--;    314.000
1943-07-16;--:--;    305.000
1943-07-17;--:--;    291.000
1943-07-18;--:--;    280.000
1943-07-19;--:--;    288.000
1943-07-20;--:--;    323.000
1943-07-21;--:--;    358.000
1943-07-22;--:--;    333.000
1943-07-23;--:--;    291.000
1943-07-24;--:--;    280.000
1943-07-25;--:--;    280.000
1943-07-26;--:--;    282.000
1943-07-27;--:--;    271.000
1943-07-28;--:--;    272.000
1943-07-29;--:--;    252.000
1943-07-30;--:--;    241.000
1943-07-31;--:--;    237.000
1943-08-01;--:--;    231.000
1943-08-02;--:--;    229.000
1943-08-03;--:--;    231.000
1943-08-04;--:--;    243.000
1943-08-05;--:--;    232.000
1943-08-06;--:--;    212.000
1943-08-07;--:--;    213.000
1943-08-08;--:--;    181.000
1943-08-09;--:--;    175.000
1943-08-10;--:--;    178.000
1943-08-11;--:--;    174.000
1943-08-12;--:--;    191.000
1943-08-13;--:--;    181.000
1943-08-14;--:--;    173.000
1943-08-15;--:--;    167.000
1943-08-16;--:--;    167.000
1943-08-17;--:--;    168.000
1943-08-18;--:--;    168.000
1943-08-19;--:--;    170.000
1943-08-20;--:--;    171.000
1943-08-21;--:--;    171.000
1943-08-22;--:--;    167.000
1943-08-23;--:--;    196.000
1943-08-24;--:--;    167.000
1943-08-25;--:--;    155.000
1943-08-26;--:--;    154.000
1943-08-27;--:--;    152.000
1943-08-28;--:--;    147.000
1943-08-29;--:--;    142.000
1943-08-30;--:--;    141.000
1943-08-31;--:--;    149.000
1943-09-01;--:--;    140.000
1943-09-02;--:--;    139.000
1943-09-03;--:--;    136.000
1943-09-04;--:--;    137.000
1943-09-05;--:--;    127.000
1943-09-06;--:--;    112.000
1943-09-07;--:--;    109.000
1943-09-08;--:--;    114.000
1943-09-09;--:--;    113.000
1943-09-10;--:--;    120.000
1943-09-11;--:--;    132.000
1943-09-12;--:--;    121.000
1943-09-13;--:--;    124.000
1943-09-14;--:--;    156.000
1943-09-15;--:--;    331.000
1943-09-16;--:--;    311.000
1943-09-17;--:--;    207.000
1943-09-18;--:--;    204.000
1943-09-19;--:--;    219.000
1943-09-20;--:--;    447.000
1943-09-21;--:--;    347.000
1943-09-22;--:--;    243.000
1943-09-23;--:--;    305.000
1943-09-24;--:--;    248.000
1943-09-25;--:--;    207.000
1943-09-26;--:--;    794.000
1943-09-27;--:--;    493.000
1943-09-28;--:--;    340.000
1943-09-29;--:--;    305.000
1943-09-30;--:--;    285.000
1943-10-01;--:--;    283.000
1943-10-02;--:--;    268.000
1943-10-03;--:--;    248.000
1943-10-04;--:--;    232.000
1943-10-05;--:--;    222.000
1943-10-06;--:--;    201.000
1943-10-07;--:--;    190.000
1943-10-08;--:--;    177.000
1943-10-09;--:--;    168.000
1943-10-10;--:--;    158.000
1943-10-11;--:--;    159.000
1943-10-12;--:--;    150.000
1943-10-13;--:--;    144.000
1943-10-14;--:--;    138.000
1943-10-15;--:--;    134.000
1943-10-16;--:--;    126.000
1943-10-17;--:--;    117.000
1943-10-18;--:--;    116.000
1943-10-19;--:--;    129.000
1943-10-20;--:--;    125.000
1943-10-21;--:--;    120.000
1943-10-22;--:--;    113.000
1943-10-23;--:--;    105.000
1943-10-24;--:--;    101.000
1943-10-25;--:--;     98.800
1943-10-26;--:--;    102.000
1943-10-27;--:--;    102.000
1943-10-28;--:--;     96.200
1943-10-29;--:--;     93.000
1943-10-30;--:--;     88.800
1943-10-31;--:--;     85.700
1943-11-01;--:--;     82.600
1943-11-02;--:--;     83.400
1943-11-03;--:--;     81.800
1943-11-04;--:--;     81.900
1943-11-05;--:--;     83.400
1943-11-06;--:--;     79.600
1943-11-07;--:--;     78.200
1943-11-08;--:--;     76.700
1943-11-09;--:--;     78.200
1943-11-10;--:--;     75.200
1943-11-11;--:--;     72.500
1943-11-12;--:--;     73.900
1943-11-13;--:--;     73.900
1943-11-14;--:--;     72.500
1943-11-15;--:--;     69.800
1943-11-16;--:--;     69.100
1943-11-17;--:--;     67.900
1943-11-18;--:--;     66.700
1943-11-19;--:--;     66.700
1943-11-20;--:--;     66.100
1943-11-21;--:--;     63.600
1943-11-22;--:--;     63.600
1943-11-23;--:--;     64.800
1943-11-24;--:--;     64.200
1943-11-25;--:--;     66.700
1943-11-26;--:--;     65.500
1943-11-27;--:--;     63.600
1943-11-28;--:--;     61.900
1943-11-29;--:--;     81.800
1943-11-30;--:--;     76.000
1943-12-01;--:--;     70.500
1943-12-02;--:--;     67.900
1943-12-03;--:--;     66.100
1943-12-04;--:--;     65.500
1943-12-05;--:--;     61.800
1943-12-06;--:--;     62.400
1943-12-07;--:--;     65.500
1943-12-08;--:--;     67.300
1943-12-09;--:--;     66.100
1943-12-10;--:--;     64.200
1943-12-11;--:--;     64.800
1943-12-12;--:--;     58.000
1943-12-13;--:--;     56.900
1943-12-14;--:--;     59.100
1943-12-15;--:--;     58.600
1943-12-16;--:--;     59.600
1943-12-17;--:--;     61.300
1943-12-18;--:--;     62.400
1943-12-19;--:--;     59.700
1943-12-20;--:--;     58.000
1943-12-21;--:--;     58.500
1943-12-22;--:--;     56.900
1943-12-23;--:--;     56.900
1943-12-24;--:--;     55.400
1943-12-25;--:--;     51.800
1943-12-26;--:--;     50.500
1943-12-27;--:--;     50.900
1943-12-28;--:--;     57.500
1943-12-29;--:--;     54.900
1943-12-30;--:--;     52.800
1943-12-31;--:--;     53.300
1944-01-01;--:--;     50.900
1944-01-02;--:--;     49.500
1944-01-03;--:--;     51.400
1944-01-04;--:--;     51.800
1944-01-05;--:--;     52.800
1944-01-06;--:--;     51.400
1944-01-07;--:--;     50.400
1944-01-08;--:--;     50.000
1944-01-09;--:--;     50.000
1944-01-10;--:--;     50.900
1944-01-11;--:--;     56.900
1944-01-12;--:--;     60.200
1944-01-13;--:--;     72.500
1944-01-14;--:--;     62.400
1944-01-15;--:--;     58.600
1944-01-16;--:--;     55.900
1944-01-17;--:--;     52.800
1944-01-18;--:--;     54.400
1944-01-19;--:--;     54.900
1944-01-20;--:--;     54.900
1944-01-21;--:--;     55.400
1944-01-22;--:--;     55.900
1944-01-23;--:--;     53.300
1944-01-24;--:--;     55.400
1944-01-25;--:--;     56.400
1944-01-26;--:--;     58.000
1944-01-27;--:--;     56.900
1944-01-28;--:--;     58.000
1944-01-29;--:--;     60.200
1944-01-30;--:--;     56.900
1944-01-31;--:--;     55.400
1944-02-01;--:--;     56.900
1944-02-02;--:--;     57.400
1944-02-03;--:--;     92.100
1944-02-04;--:--;    110.000
1944-02-05;--:--;     84.200
1944-02-06;--:--;     67.900
1944-02-07;--:--;     63.600
1944-02-08;--:--;     66.100
1944-02-09;--:--;     64.800
1944-02-10;--:--;     63.000
1944-02-11;--:--;     61.300
1944-02-12;--:--;     60.200
1944-02-13;--:--;     58.000
1944-02-14;--:--;     56.900
1944-02-15;--:--;     56.900
1944-02-16;--:--;     57.400
1944-02-17;--:--;     57.400
1944-02-18;--:--;     56.400
1944-02-19;--:--;     55.400
1944-02-20;--:--;     52.300
1944-02-21;--:--;     51.800
1944-02-22;--:--;     52.800
1944-02-23;--:--;     53.300
1944-02-24;--:--;     55.400
1944-02-25;--:--;     54.400
1944-02-26;--:--;     54.400
1944-02-27;--:--;     55.400
1944-02-28;--:--;     54.900
1944-02-29;--:--;     57.400
1944-03-01;--:--;     58.000
1944-03-02;--:--;     55.400
1944-03-03;--:--;     54.400
1944-03-04;--:--;     53.300
1944-03-05;--:--;     51.400
1944-03-06;--:--;     50.400
1944-03-07;--:--;     51.800
1944-03-08;--:--;     52.300
1944-03-09;--:--;     52.300
1944-03-10;--:--;     53.300
1944-03-11;--:--;     53.800
1944-03-12;--:--;     53.800
1944-03-13;--:--;     54.400
1944-03-14;--:--;     57.400
1944-03-15;--:--;     55.900
1944-03-16;--:--;     55.400
1944-03-17;--:--;     55.900
1944-03-18;--:--;     56.400
1944-03-19;--:--;     58.000
1944-03-20;--:--;     64.800
1944-03-21;--:--;     69.200
1944-03-22;--:--;     69.200
1944-03-23;--:--;     63.000
1944-03-24;--:--;     60.200
1944-03-25;--:--;     61.800
1944-03-26;--:--;     61.300
1944-03-27;--:--;     68.500
1944-03-28;--:--;     72.500
1944-03-29;--:--;     74.600
1944-03-30;--:--;     81.100
